game_name,platform,release_year,genre,publisher,price,user_score,downloads
Pixel War,PC,2018.0,adventure,Nintendo,59.99,3.008896643339405,710570.0
Sky Legends,SWITCH,2018.0,action,EA,59.99,6.911119779634752,1000000.0
Pixel War,PLAYSTATION,2020.0,shooter,Sony,59.99,6.911119779634752,849749.0
Dragon Arena,XBOX,2019.0,adventure,Sony,59.99,8.5,500000.0
Call of Battle,PC,2021.0,action,Nintendo,39.99,6.911119779634752,847335.0
Pixel War,SWITCH,2020.0,action,Sony,59.99,6.911119779634752,500000.0
Sky Legends,PS4,2020.0,action,EA,0.0,6.911119779634752,1000000.0
Dragon Arena,PC,2021.0,rpg,Sony,0.0,8.5,500000.0
Speed Racer X,PLAYSTATION,2020.0,adventure,Unknown,0.0,8.5,1000000.0
Speed Racer X,SWITCH,2021.0,rpg,Unknown,0.0,6.911119779634752,884794.0
Speed Racer X,XBOX,2018.0,adventure,Nintendo,0.0,8.5,500000.0
Speed Racer X,PLAYSTATION,2021.0,rpg,Unknown,0.0,8.5,500000.0
Pixel War,PC,2021.0,shooter,Sony,59.99,8.5,0.0
Call of Battle,XBOX,2018.0,adventure,EA,59.99,6.911119779634752,626380.0
Zombie Land,SWITCH,2020.0,rpg,Unknown,59.99,9.739705398522563,714328.0
Pixel War,PC,2020.0,rpg,Unknown,59.99,6.911119779634752,0.0
Call of Battle,PLAYSTATION,2020.0,rpg,Unknown,39.99,2.6078669247711823,500000.0
Dragon Arena,PLAYSTATION,2020.0,shooter,Ubisoft,59.99,8.5,566579.0
Sky Legends,XBOX,2021.0,action,EA,59.99,6.911119779634752,252083.0
Speed Racer X,PC,2018.0,action,Unknown,0.0,6.911119779634752,1000000.0
Speed Racer X,PLAYSTATION,2021.0,shooter,Ubisoft,59.99,6.911119779634752,1000000.0
Sky Legends,XBOX,2020.0,adventure,Ubisoft,0.0,6.911119779634752,0.0
Call of Battle,PS4,2019.0,action,Nintendo,59.99,8.5,1000000.0
Call of Battle,PC,2020.0,adventure,EA,59.99,1.6066029529927677,500000.0
Call of Battle,PC,2019.0,rpg,Unknown,0.0,8.5,0.0
Speed Racer X,XBOX,2021.0,adventure,Sony,59.99,6.911119779634752,0.0
Zombie Land,SWITCH,2020.0,adventure,EA,0.0,6.881099394392124,0.0
Pixel War,XBOX,2020.0,adventure,EA,59.99,6.911119779634752,1000000.0
Zombie Land,PS4,2020.0,rpg,Ubisoft,39.99,6.911119779634752,848272.0
Call of Battle,PLAYSTATION,2020.0,adventure,EA,59.99,8.5,0.0
Zombie Land,SWITCH,2019.0,adventure,Sony,59.99,2.481734092613742,500000.0
Dragon Arena,XBOX,2021.0,rpg,Sony,0.0,6.911119779634752,0.0
Speed Racer X,PS4,2020.0,action,EA,0.0,7.621634609101391,500000.0
Call of Battle,PC,2020.0,rpg,Unknown,39.99,5.780135217434872,533496.0
Dragon Arena,PS4,2018.0,shooter,EA,0.0,6.911119779634752,1000000.0
Sky Legends,PC,2018.0,shooter,EA,0.0,6.911119779634752,500000.0
Mystic Quest,PS4,2020.0,adventure,Nintendo,59.99,8.5,500000.0
Zombie Land,XBOX,2020.0,action,EA,0.0,6.911119779634752,105837.0
Sky Legends,PS4,2020.0,rpg,Ubisoft,59.99,8.5,500000.0
Speed Racer X,SWITCH,2020.0,shooter,Unknown,59.99,6.911119779634752,500000.0
Pixel War,PC,2019.0,rpg,EA,59.99,8.5,500000.0
